Zona_Nombre,Zona_Codigo,Total Poblacion,Total Male,Total Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Media de Edad
Chelsea-Hudson Yards,MN0401,61878,31602,30276,1748,1574,1495,1917,3316,8076,8922,4597,4108,4002,3788,4934,3972,2613,2841,1821,1212,942,39.2
East Harlem (North),MN1102,63526,29728,33798,3484,3590,4139,3124,4180,5610,5991,5041,4443,3807,4329,3958,3102,2374,2091,1553,1065,1645,36.6
East Harlem (South),MN1101,58607,24994,33613,3289,2425,3203,3078,4026,5032,5285,5319,2967,3260,3326,3463,3557,3956,2270,1942,1033,1176,37.8
East Midtown-Turtle Bay,MN0604,41969,19314,22655,1702,1077,1058,787,1636,4487,4259,3529,2231,1705,2740,2051,2912,2293,2883,2669,1849,2101,45.6
East Village,MN0303,68412,33605,34807,1968,1260,1559,4769,7706,8873,10285,4126,3310,2951,3229,4713,3471,3209,2748,1526,1322,1387,33.9
Financial District-Battery Park City,MN0101,48608,23249,25359,2118,1790,1682,2665,3630,7480,5781,4836,4473,3419,2592,2265,1869,1397,723,451,572,865,34.3
Gramercy,MN0602,26523,12304,14219,1090,506,969,1824,3007,3085,2683,1911,1761,1081,1854,1165,1572,1072,1249,555,564,575,35.2
Greenwich Village,MN0202,31517,15451,16066,869,726,586,3485,2816,3738,3207,2188,2214,1701,1614,1503,1271,1718,1370,1150,858,503,35.7
Hamilton Heights-Sugar Hill,MN0903,52530,25998,26532,2077,2755,1824,1968,2224,5591,6336,5841,3819,2979,2923,3005,3935,2809,1592,1088,1096,668,38.0
Harlem (North),MN1002,86090,40872,45218,5386,3864,5044,4459,4985,7976,7394,6361,6018,6273,5870,6260,5234,3789,2698,1583,1543,1353,38.1
Harlem (South),MN1001,48803,23390,25413,2528,2278,2723,1948,2758,4835,4544,4145,4541,3665,4082,2735,2733,2109,1084,1098,567,430,38.3
Hell's Kitchen,MN0402,55221,30056,25165,1403,1256,761,701,3382,7572,8344,5133,3869,3086,3371,3736,2805,3471,3077,1500,1000,754,39.1
Inwood,MN1203,38209,18069,20140,2085,1725,2301,1280,2030,3282,3906,3592,2209,2208,3033,2913,1916,1653,1564,995,778,739,38.5
Lower East Side,MN0302,46107,22388,23719,1568,1980,1563,1887,3707,5140,2721,3233,2857,2677,2955,3052,2639,2536,3056,1790,1350,1396,42.2
Manhattanville-West Harlem,MN0902,22260,11431,10829,1441,1312,1267,1096,1479,2452,2323,1475,1720,1244,1012,1343,1170,814,730,552,469,361,34.5
Midtown South-Flatiron-Union Square,MN0501,29670,14455,15215,723,817,567,2114,2276,4217,3975,2828,2276,1867,1520,1575,1353,1189,1079,721,305,268,35.2
Midtown-Times Square,MN0502,21949,11742,10207,550,429,388,316,866,2925,2458,2252,1385,1368,1566,1097,1466,1235,1638,791,410,809,42.8
Morningside Heights,MN0901,37984,18022,19962,1188,1058,890,5040,7779,4804,2266,2034,1494,1692,1514,1207,1503,1361,1563,984,874,733,28.1
Murray Hill-Kips Bay,MN0603,54905,26565,28340,1545,1356,1388,1143,5649,10032,7322,3591,3541,3809,1862,1994,2399,2414,2320,1811,1121,1608,34.3
SoHo-Little Italy-Hudson Square,MN0201,22167,10120,12047,606,423,1007,507,1891,2968,2217,1711,1665,1479,2080,924,856,1226,1155,810,223,419,39.3
Stuyvesant Town-Peter Cooper Village,MN0601,21963,11417,10546,707,1380,390,454,1123,3176,2219,1658,1532,1376,1231,1120,1567,988,1127,468,1123,324,39.6
Tribeca-Civic Center,MN0102,23257,11349,11908,1348,1300,971,887,1866,2299,2056,2468,1876,1940,1615,1103,688,1001,501,589,566,183,36.8
Upper East Side-Carnegie Hill,MN0802,54062,24227,29835,2125,2124,3210,2136,1754,3096,3249,3050,2926,3351,3759,3546,3448,2970,3922,3693,2880,2823,50.0
Upper East Side-Lenox Hill-Roosevelt Island,MN0801,79296,34859,44437,4682,2485,3148,2922,3547,8076,11007,6526,4827,4137,5337,3643,4099,3657,3149,2666,2989,2399,37.9
Upper East Side-Yorkville,MN0803,78950,34726,44224,3395,2892,1959,2360,2964,8707,7988,7066,4857,3901,4736,5250,4680,4489,5484,3513,2063,2646,42.2
Upper West Side (Central),MN0702,99128,45988,53140,5716,3646,4429,2935,2782,7195,9545,7848,5576,6230,7452,6453,6709,5703,6039,4501,2647,3722,44.9
Upper West Side-Lincoln Square,MN0701,68212,32338,35874,3754,2785,3083,2867,2139,4331,5353,6058,5746,4383,4475,5681,4189,3930,2974,2956,1892,1616,43.2
Upper West Side-Manhattan Valley,MN0703,51421,23610,27811,1913,2108,1589,2012,3469,5940,4573,3804,2987,2619,2795,2872,3422,2878,3160,2403,1212,1665,40.5
Washington Heights (North),MN1202,75554,37260,38294,3414,3524,3341,3061,4548,6954,6158,6737,5664,5975,4478,4513,5012,4588,2939,2077,1404,1167,40.0
Washington Heights (South),MN1201,74814,35868,38946,2865,2640,3193,3310,6472,8125,6700,5975,5096,4837,4488,3659,4190,4148,3357,1988,1854,1917,38.4
West Village,MN0203,32518,16036,16482,900,698,785,609,1669,5112,3930,2731,1937,2659,1849,2205,1908,2029,1334,1284,459,420,39.7
