Zona_Nombre,Zona_Codigo,Grupo,Subgrupo,Poblacion
Chelsea-Hudson Yards,MN0401,Hispanic or Latino,Mexican,881
Chelsea-Hudson Yards,MN0401,Hispanic or Latino,Puerto Rican,3474
Chelsea-Hudson Yards,MN0401,Hispanic or Latino,Cuban,214
Chelsea-Hudson Yards,MN0401,Hispanic or Latino,Dominican (Dominican Republic),1435
Chelsea-Hudson Yards,MN0401,Central American,Costa Rican,16
Chelsea-Hudson Yards,MN0401,Central American,Guatemalan,62
Chelsea-Hudson Yards,MN0401,Central American,Honduran,38
Chelsea-Hudson Yards,MN0401,Central American,Nicaraguan,23
Chelsea-Hudson Yards,MN0401,Central American,Panamanian,95
Chelsea-Hudson Yards,MN0401,Central American,Salvadoran,311
Chelsea-Hudson Yards,MN0401,Central American,Other Central American,0
Chelsea-Hudson Yards,MN0401,South American,Argentinean,246
Chelsea-Hudson Yards,MN0401,South American,Bolivian,0
Chelsea-Hudson Yards,MN0401,South American,Chilean,32
Chelsea-Hudson Yards,MN0401,South American,Colombian,892
Chelsea-Hudson Yards,MN0401,South American,Ecuadorian,774
Chelsea-Hudson Yards,MN0401,South American,Paraguayan,113
Chelsea-Hudson Yards,MN0401,South American,Peruvian,61
Chelsea-Hudson Yards,MN0401,South American,Uruguayan,0
Chelsea-Hudson Yards,MN0401,South American,Venezuelan,86
Chelsea-Hudson Yards,MN0401,South American,Other South American,0
Chelsea-Hudson Yards,MN0401,Other Hispanic,Spaniard,515
Chelsea-Hudson Yards,MN0401,Other Hispanic,Spanish,309
Chelsea-Hudson Yards,MN0401,Other Hispanic,Spanish American,0
East Harlem (North),MN1102,Hispanic or Latino,Mexican,3934
East Harlem (North),MN1102,Hispanic or Latino,Puerto Rican,10610
East Harlem (North),MN1102,Hispanic or Latino,Cuban,438
East Harlem (North),MN1102,Hispanic or Latino,Dominican (Dominican Republic),6889
East Harlem (North),MN1102,Central American,Costa Rican,0
East Harlem (North),MN1102,Central American,Guatemalan,690
East Harlem (North),MN1102,Central American,Honduran,194
East Harlem (North),MN1102,Central American,Nicaraguan,193
East Harlem (North),MN1102,Central American,Panamanian,312
East Harlem (North),MN1102,Central American,Salvadoran,79
East Harlem (North),MN1102,Central American,Other Central American,0
East Harlem (North),MN1102,South American,Argentinean,0
East Harlem (North),MN1102,South American,Bolivian,2
East Harlem (North),MN1102,South American,Chilean,0
East Harlem (North),MN1102,South American,Colombian,444
