Zona_Nombre,Zona_Codigo,Total housing units,Occupied housing units,Vacant housing units,Homeowner vacancy rate,Rental vacancy rate
Chelsea-Hudson Yards,MN0401,42625,35763,6862,3.6,6.3
East Harlem (North),MN1102,30668,27881,2787,4.9,5.1
East Harlem (South),MN1101,28997,25874,3123,2.4,3.8
East Midtown-Turtle Bay,MN0604,31825,23244,8581,8.1,7.6
East Village,MN0303,37020,33691,3329,0.7,3.7
Financial District-Battery Park City,MN0101,28478,23665,4813,4.6,2.1
Gramercy,MN0602,17512,13798,3714,7.5,2.6
Greenwich Village,MN0202,19745,15521,4224,4.9,4.1
Hamilton Heights-Sugar Hill,MN0903,21456,19568,1888,1.2,3.0
Harlem (North),MN1002,40681,37040,3641,3.8,3.9
Harlem (South),MN1001,23953,21018,2935,0.7,5.0
Hell's Kitchen,MN0402,38192,33402,4790,0.5,7.3
Inwood,MN1203,16309,15208,1101,,3.3
Lower East Side,MN0302,23892,21633,2259,2.8,5.0
Manhattanville-West Harlem,MN0902,9138,8311,827,,4.9
Midtown South-Flatiron-Union Square,MN0501,18994,15736,3258,7.3,2.7
Midtown-Times Square,MN0502,19007,12921,6086,6.2,12.2
Morningside Heights,MN0901,14804,12594,2210,2.9,10.8
Murray Hill-Kips Bay,MN0603,37137,30799,6338,3.0,2.6
SoHo-Little Italy-Hudson Square,MN0201,14787,12127,2660,4.4,6.8
Stuyvesant Town-Peter Cooper Village,MN0601,11561,10690,871,,2.6
Tribeca-Civic Center,MN0102,11875,9667,2208,6.5,4.6
Upper East Side-Carnegie Hill,MN0802,37773,26603,11170,4.6,7.7
Upper East Side-Lenox Hill-Roosevelt Island,MN0801,53464,41398,12066,4.8,11.0
Upper East Side-Yorkville,MN0803,49509,42356,7153,1.4,3.1
Upper West Side (Central),MN0702,58888,47697,11191,2.1,10.4
Upper West Side-Lincoln Square,MN0701,45519,36461,9058,3.0,5.9
Upper West Side-Manhattan Valley,MN0703,25922,22959,2963,0.3,5.2
Washington Heights (North),MN1202,31155,29278,1877,1.4,2.8
Washington Heights (South),MN1201,30059,27773,2286,1.3,2.6
West Village,MN0203,23340,18891,4449,2.7,7.1
