NOMBRE_LUGAR,CATEGORIA,ZONA,LONGITUD,LATITUD
THOMAS JEFFERSON PARK,Parques y Jardines,Manhattan,-73.936113484306,40.793070363719
DALTON SCHOOL THE FIRST PROGRAM,Educacion,Manhattan,-73.955888984378,40.783951563
STUYVESANT TOWN 321 AVE C 319 AVE C 315 AVE C,Residencial,Manhattan,-73.974551138655,40.731826135591
HARLEM GROWN 134 ST GREEN HOUSE,Parques y Jardines,Manhattan,-73.943313433901,40.81410593537
RIVERSIDE PARK BASKETBALL COURTS W 111 ST,Parques y Jardines,Manhattan,-73.96974958994,40.806235003283
THE STANDARD HOTEL EAST VILLAGE,Comercial y Hoteles,Manhattan,-73.990796238636,40.727858548222
PUBLIC SCHOOL 139 CONVERSION,Residencial,Manhattan,-73.940133604933,40.817739427496
NEW YORK UNIVERSITY STUDENT HEALTH CENTER,Educacion,Manhattan,-73.99312199146,40.729298188507
PS 200 THE JAMES MCCUNE SMITH SCHOOL,Educacion,Manhattan,-73.936123339707,40.824321324519
RANDALLS ISLAND FIELD 63,Parques y Jardines,Manhattan,-73.92453957718,40.782979677881
BORICUA COLLEGE,Educacion,Manhattan,-73.945818165671,40.833434262203
HIGH BRIDGE PARK POOL,Parques y Jardines,Manhattan,-73.934137494374,40.842901197239
INTREPID SEA AIR & SPACE MUSEUM,Cultura,Manhattan,-74.000366944131,40.764569120499
LINDAMOOD BELL EAST SIDE LEARNING CENTER,Educacion,Manhattan,-73.971140344198,40.759917981255
CENTRAL PARK LITERARY WALK,Parques y Jardines,Manhattan,-73.972650483476,40.770358683913
ALEXANDER HAMILTON PLAYGROUND,Parques y Jardines,Manhattan,-73.951294508798,40.823139626806
MEXICAN TOURISM OFFICE,Administracion Publica,Manhattan,-73.976912576017,40.75636502864
ARTS CLUB STUDIO BUILDING,Cultura,Manhattan,-73.986696305668,40.737716349051
TAFT HOUSES BUILDING 9,Residencial,Manhattan,-73.946170658606,40.797648018084
RUTGERS HOUSES BUILDING 4,Residencial,Manhattan,-73.990241625042,40.712304072387
SAMUEL CITY HOUSES BUILDING 48,Residencial,Manhattan,-73.93724824033,40.819634598162
ELLIS ISLAND NATIONAL MONUMENT,Monumentos y Plazas,Manhattan,-74.039319505046,40.699238549411
PARK ROYAL BUILDING,Residencial,Manhattan,-73.976872883006,40.777729084982
J HOOD WRIGHT PARK,Parques y Jardines,Manhattan,-73.941255626458,40.846542275389
BRONX SHORE FIELD 5,Parques y Jardines,Manhattan,-73.922626140162,40.800215906843
CECIL HOTEL,Comercial y Hoteles,Manhattan,-73.952464533353,40.804746654902
EAST RIVER PARK AMPHITHEATER,Parques y Jardines,Manhattan,-73.977815238119,40.711118087476
SUCCESS ACADEMY CHARTER SCHOOL HARLEM 1,Educacion,Manhattan,-73.948266911016,40.802914868951
CARVER HOUSES BUILDING 8,Residencial,Manhattan,-73.949568476403,40.79156617732
AIR INDIA,Comercial y Hoteles,Manhattan,-73.972330970774,40.756964010579
MASARYK BASKETBALL GYM,Parques y Jardines,Manhattan,-73.980430903147,40.717539602661
INWOOD HILL PARK BOAT DOCK,Parques y Jardines,Manhattan,-73.920756648463,40.874218679024
ROCKEFELLER UNIVERSITY BASS DINING COMMONS,Educacion,Manhattan,-73.955406496334,40.761776423991
COLUMBIA UNIVERSITY WATT HALL,Educacion,Manhattan,-73.964442849831,40.805888241247
SOUTH AFRICA CONSULATE & MISSION TO UN,Administracion Publica,Manhattan,-73.972282616569,40.746776052756
CANADA CONSULATE,Administracion Publica,Manhattan,-73.974639994948,40.753782380772
PETER'S FIELD,Parques y Jardines,Manhattan,-73.981643699674,40.736166637497
MARBLE HILL HOUSES BUILDING 12,Residencial,Manhattan,-73.908383558502,40.874590433843
DPR FIVE BORO GARAGE STORAGE,Monumentos y Plazas,Manhattan,-73.923071947064,40.798733216224
BARBADOS CONSULATE,Administracion Publica,Manhattan,-73.971120827028,40.750861040258
"CINEMA 1, 2  & 3 THEATRES",Cultura,Manhattan,-73.966052711622,40.761852359784
BOLIVIAN CONSULATE,Administracion Publica,Manhattan,-73.973163059322,40.751292083962
DEP WARDS ISLAND CFN HEADQUARTERS,Monumentos y Plazas,Manhattan,-73.923457705121,40.784161483753
CITY COLLEGE,Educacion,Manhattan,-73.95040517946,40.819536576474
96 STREET LIBRARY,Cultura,Manhattan,-73.951798695176,40.78601871145
MANHATTAN COMMUNITY BOARD 5,Administracion Publica,Manhattan,-73.990622321481,40.751421386194
HRA JOB CENTER DYCKMAN #35,Administracion Publica,Manhattan,-73.914301020059,40.870252312326
FIRST HOUSES BUILDING 6,Residencial,Manhattan,-73.986340712078,40.723922422926
SEPTUAGESIMO UNO PARK,Parques y Jardines,Manhattan,-73.984308530321,40.778690078428
MILL ROCK PARK ISLAND,Parques y Jardines,Manhattan,-73.938391360103,40.78065338569
SUCCESS ACADEMY CHARTER SCHOOL HARLEM 4,Educacion,Manhattan,-73.95542006739,40.801712094009
EMMA LAZARUS HIGH SCHOOL,Educacion,Manhattan,-73.993475172651,40.7163411632
PS 63 PLAYGROUND,Parques y Jardines,Manhattan,-73.986144945768,40.724563697162
CITY AS SCHOOL HIGH SCHOOL,Educacion,Manhattan,-74.006328980177,40.729255194762
FT TRYON PARK PINE LAWN,Parques y Jardines,Manhattan,-73.934538495492,40.860824858885
SCHARANSKY STEPS,Monumentos y Plazas,Manhattan,-73.96947389931,40.749583599272
J HOOD WRIGHT PARK PLAYGROUND,Parques y Jardines,Manhattan,-73.940954942376,40.845992815432
DWIGHT SCHOOL 18 W 89 ST,Educacion,Manhattan,-73.968754407077,40.787395706661
COLUMBIA UNIVERSITY RUGGLES HALL,Educacion,Manhattan,-73.962676598266,40.805643800978
CHELSEA SQUARE RESTAURANT,Comercial y Hoteles,Manhattan,-74.001297796322,40.746243274839
THE ARK NURSERY SCHOOL,Educacion,Manhattan,-73.962887999777,40.776453117079
BLOOMINGDALE LIBRARY,Cultura,Manhattan,-73.967849811124,40.795928246603
RUDOLF STEINER HS,Educacion,Manhattan,-73.963001574816,40.775996546254
B SCHLESINGER & SONS UNIFORMS,Comercial y Hoteles,Manhattan,-73.999857208972,40.742051765444
NEW YORK UNIVERSITY EDUCATION BUILDING,Educacion,Manhattan,-73.995872434484,40.729497694157
DOUGLASS II HOUSES BUILDING 13,Residencial,Manhattan,-73.965665375425,40.7982392482
LITTLE FLOWER PLAYGROUND,Parques y Jardines,Manhattan,-73.988215938301,40.712523206571
PS 138 ANNEX,Educacion,Manhattan,-73.978160634649,40.737031772521
DR RONALD E MCNAIR PLAYGROUND,Parques y Jardines,Manhattan,-73.938079502269,40.802576084448
PS 133 FRED R MOORE,Educacion,Manhattan,-73.939430392088,40.80980976795
CITY COLLEGE WILLE ADMINISTRATION BUILDING,Educacion,Manhattan,-73.948747231714,40.819908375751
JUDITH S KAYE HIGH SCHOOL,Educacion,Manhattan,-73.944903825457,40.78363906297
PS 149 SOJOURNER TRUTH,Educacion,Manhattan,-73.948240416365,40.802565141442
CENTRAL PARK STRAWBERRY FIELDS,Parques y Jardines,Manhattan,-73.975225531651,40.775708961087
MELVILLE GALLERY,Cultura,Manhattan,-74.003315432469,40.707403603449
JOAN OF ARC ISLAND,Parques y Jardines,Manhattan,-73.976459217864,40.794234424217
UNITED NATIONS PLZ CONDO,Residencial,Manhattan,-73.965781644366,40.752289972327
STUYVESANT TOWN 530 E 20 540 E 20,Residencial,Manhattan,-73.976015602475,40.732971502463
MONTESSORI SCHOOL OF MANHATTAN BEACH ST,Educacion,Manhattan,-74.009419373227,40.720883352222
THOMAS PAINE PARK,Parques y Jardines,Manhattan,-74.002653425222,40.715015151344
HRA JOB CENTER UNION SQUARE #39,Administracion Publica,Manhattan,-73.988427210691,40.735768550435
BOTSWANA MISSION TO UN,Administracion Publica,Manhattan,-73.973438452876,40.753515838228
RIVERSIDE PARK 77 ST BALLFIELDS,Parques y Jardines,Manhattan,-73.985623447127,40.784570476927
HERNANDEZ HOUSE,Residencial,Manhattan,-73.989428176347,40.722227429464
COLUMBIA UNIVERSITY COLLEGE OF DENTAL MEDICINE,Educacion,Manhattan,-73.940481020169,40.840897613585
FT TRYON PARK NEW LEAF RESTROOM,Parques y Jardines,Manhattan,-73.932719600023,40.860655181403
SCYLLA PLAYGROUND,Parques y Jardines,Manhattan,-73.925541278741,40.783968648538
PARK AVENUE HOTEL,Comercial y Hoteles,Manhattan,-73.938925836435,40.804727511828
LOWER E SIDE II HOUSES BLDG 4,Residencial,Manhattan,-73.979278431498,40.723144085281
MOSAIC PREPARATORY ACADEMY,Educacion,Manhattan,-73.944284590766,40.795761396102
POLO GROUNDS TOWERS BLDG 3,Residencial,Manhattan,-73.938589624777,40.830968053241
SINGAPORE ECON DEVELOP BOARD,Administracion Publica,Manhattan,-73.970608480344,40.763492047792
LINCOLN HOUSES BUILDING 10,Residencial,Manhattan,-73.937556480205,40.810585730957
RIVERBANK PARK SERVICE BUILDING,Parques y Jardines,Manhattan,-73.956035239847,40.825273694806
JEWISH MUSEUM,Cultura,Manhattan,-73.957257376484,40.785382719821
1 EAST RIVER PLACE,Residencial,Manhattan,-73.951428195617,40.766490038677
SCHERMERHORN ROW,Monumentos y Plazas,Manhattan,-74.003829030579,40.70641628118
LOUIS F DESALVIO CORNER,Monumentos y Plazas,Manhattan,-73.99876006177,40.71845039734
FIRST HOUSES BUILDING 5,Residencial,Manhattan,-73.986175989773,40.723841369242
RADIO CITY POST OFFICE,Administracion Publica,Manhattan,-73.986379003331,40.763870977697
