ZONA,FECHA,HORA,ID_QUEJA,LATITUD,GRAVEDAD,LONGITUD,DELITO,TIPO_LUGAR
MANHATTAN,2025-04-05,01:20:00,304465601,40.704549,FELONY,-74.01428973,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-08-29,21:30:00,312100053,40.705582,FELONY,-74.015405,ROBBERY,HOTEL/MOTEL
MANHATTAN,2025-06-23,13:00:00,308510277,40.714542,FELONY,-74.01567,FELONY ASSAULT,STREET
MANHATTAN,2025-08-28,15:35:00,312038981,40.710832,FELONY,-74.016085,FELONY ASSAULT,PARK/PLAYGROUND
MANHATTAN,2025-02-21,07:42:00,301452054,40.705439,FELONY,-74.014685,ROBBERY,STREET
MANHATTAN,2025-05-23,13:30:00,306937819,40.704549,FELONY,-74.01428973,FELONY ASSAULT,TRANSIT FACILITY (OTHER)
MANHATTAN,2025-02-25,08:45:00,301633409,40.714542,FELONY,-74.01567,FELONY ASSAULT,COMMERCIAL BUILDING
MANHATTAN,2025-03-28,11:18:00,303790483,40.71675,FELONY,-74.014661,ROBBERY,DRUG STORE
MANHATTAN,2025-08-16,19:15:00,311316286,40.711327,FELONY,-74.015148,FELONY ASSAULT,COMMERCIAL BUILDING
MANHATTAN,2025-02-04,03:00:00,300502477,40.707822,FELONY,-74.014541,ROBBERY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-05-26,14:00:00,307457539,40.71675,FELONY,-74.014661,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-03-29,20:50:00,303855188,40.70623702,FELONY,-74.01433698,ROBBERY,STREET
MANHATTAN,2025-03-18,16:30:00,303097937,40.70454900392,FELONY,-74.01428973799,FELONY ASSAULT,STREET
MANHATTAN,2025-04-04,15:10:00,304191213,40.704549,FELONY,-74.01428973,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-04-30,02:40:00,305570270,40.703807,FELONY,-74.011587,FELONY ASSAULT,STREET
MANHATTAN,2025-07-28,11:15:00,310332353,40.708458,FELONY,-74.011132,ROBBERY,BANK
MANHATTAN,2025-01-06,15:00:00,299078223,40.733162,FELONY,-74.004128,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-05-29,14:50:00,307288096,40.713029,FELONY,-74.004175,ROBBERY,PUBLIC BUILDING
MANHATTAN,2025-05-21,19:20:00,306818184,40.713562,FELONY,-74.012439,ROBBERY,CHAIN STORE
MANHATTAN,2025-05-17,10:30:00,306581966,40.738762,FELONY,-74.004679,FELONY ASSAULT,RESIDENCE - APT. HOUSE
MANHATTAN,2025-07-18,01:45:00,309782182,40.71687105,FELONY,-74.00402581,ROBBERY,STREET
MANHATTAN,2025-09-05,18:54:00,312430472,40.714616,FELONY,-74.011445,BURGLARY,DEPARTMENT STORE
MANHATTAN,2025-04-11,20:57:00,304618217,40.724493,FELONY,-74.006912,FELONY ASSAULT,RESIDENCE - APT. HOUSE
MANHATTAN,2025-06-30,11:20:00,308852357,40.74347,FELONY,-74.005392,FELONY ASSAULT,RESIDENCE - PUBLIC HOUSING
MANHATTAN,2025-04-07,03:13:00,304303403,40.740309,FELONY,-74.003827,BURGLARY,GROCERY/BODEGA
MANHATTAN,2025-08-21,13:35:00,311648132,40.713436,FELONY,-74.013134,FELONY ASSAULT,STREET
MANHATTAN,2025-08-15,11:35:00,311260415,40.714653,FELONY,-74.008165,FELONY ASSAULT,RESTAURANT/DINER
MANHATTAN,2025-04-25,19:00:00,305351946,40.727526,FELONY,-74.005488,ROBBERY,STREET
MANHATTAN,2025-04-12,15:38:00,304650211,40.711466,FELONY,-74.012218,BURGLARY,CHAIN STORE
MANHATTAN,2025-05-06,16:20:00,306022763,40.72825,FELONY,-74.005372,FELONY ASSAULT,OTHER
MANHATTAN,2025-08-15,16:37:00,311267853,40.714616,FELONY,-74.011445,BURGLARY,CHAIN STORE
MANHATTAN,2025-03-19,19:30:00,303220838,40.751723,FELONY,-74.004951,ROBBERY,STREET
MANHATTAN,2025-04-16,14:55:00,306138163,40.717282,FELONY,-74.004903,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-05-08,17:30:00,306426973,40.706667,FELONY,-74.009255,FELONY ASSAULT,HOMELESS SHELTER
MANHATTAN,2025-04-07,03:07:00,304325150,40.717601,FELONY,-74.003846,BURGLARY,CLOTHING/BOUTIQUE
MANHATTAN,2025-01-10,09:23:00,299749755,40.72966,FELONY,-74.004565,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-06-13,11:19:00,308034035,40.705012,FELONY,-74.007148,BURGLARY,DRUG STORE
MANHATTAN,2025-02-18,22:00:00,301711388,40.708964,FELONY,-74.010102,FELONY ASSAULT,RESIDENCE - APT. HOUSE
MANHATTAN,2025-04-24,15:45:00,305295722,40.75030741,FELONY,-74.00836606,ROBBERY,STREET
MANHATTAN,2025-07-09,23:30:00,309356191,40.736584,FELONY,-74.008282,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-05-03,01:50:00,305761722,40.733119,FELONY,-74.007462,FELONY ASSAULT,RESIDENCE - APT. HOUSE
MANHATTAN,2025-08-22,05:00:00,311610842,40.736198,FELONY,-74.005896,ROBBERY,PARK/PLAYGROUND
MANHATTAN,2025-05-07,18:02:00,307179770,40.716565,FELONY,-74.010021,BURGLARY,RESIDENCE-HOUSE
MANHATTAN,2025-04-08,13:20:00,304398200,40.713337,FELONY,-74.006999,ROBBERY,BANK
MANHATTAN,2025-05-06,01:50:00,305908922,40.721384,FELONY,-74.005279,BURGLARY,GROCERY/BODEGA
MANHATTAN,2025-02-22,21:14:00,301585940,40.750815,FELONY,-74.003756,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-02-22,18:30:00,301538844,40.730298,FELONY,-74.00753,BURGLARY,GYM/FITNESS FACILITY
MANHATTAN,2025-09-16,13:40:00,312990308,40.725624,FELONY,-74.005168,ROBBERY,CHAIN STORE
MANHATTAN,2025-09-09,02:34:00,312573956,40.731443,FELONY,-74.005284,BURGLARY,RESIDENCE-HOUSE
MANHATTAN,2025-05-27,11:25:00,307084026,40.741296,FELONY,-74.006168,ROBBERY,CLOTHING/BOUTIQUE
MANHATTAN,2025-07-27,13:55:00,310293061,40.715262,FELONY,-74.011212,ROBBERY,CHAIN STORE
MANHATTAN,2025-05-17,16:55:00,306587397,40.734139,FELONY,-74.003767,ROBBERY,STREET
